step,auprc,strategy
20,0.40361228304585056,reconstruction_error
40,0.4076435506222787,reconstruction_error
60,0.36186235252803384,reconstruction_error
80,0.3145776171427928,reconstruction_error
100,0.45310674217646724,reconstruction_error
120,0.5127782353342268,reconstruction_error
140,0.44445850728001307,reconstruction_error
160,0.4774213491616419,reconstruction_error
180,0.5422578043685199,reconstruction_error
200,0.5542789315925877,reconstruction_error
