Model,Clean Mean Error,Adversarial Mean Error (Max),Evasion Mean Error (Min),Sensitivity (Max/Clean),Evasion Resistance (Min/Clean)
MC Dropout,0.76447254,0.8932857,0.6513495,1.1684994,0.8520247
Denoising,0.20825426,0.2751579,0.1601994,1.3212594,0.7692491
